Gender,Age,Salary,Purchase_iPhone
Male,27,87746,No
Female,31,30516,No
Male,25,77184,Yes
Male,58,36815,Yes
Male,37,102025,Yes
Male,41,142783,No
Female,29,76054,No
Female,30,34681,Yes
Female,59,125452,Yes
Male,39,125342,Yes
Female,40,91742,No
Male,47,108290,No
Female,28,145728,Yes
Male,29,133581,Yes
Female,41,148772,Yes
Female,43,115686,No
Male,27,144076,No
Male,51,35444,No
Male,30,98534,Yes
Female,32,33549,Yes
Male,20,122467,Yes
Male,58,60459,No
Male,39,49065,No
Female,29,91090,Yes
Female,22,113888,No
Male,23,100751,No
Male,32,94566,No
Female,60,107500,No
Female,33,57340,Yes
Male,30,118136,No
Male,51,141103,No
Male,29,132118,No
Female,22,97025,Yes
Female,22,72846,Yes
Male,48,113909,No
Female,56,82230,No
Female,49,65973,Yes
Male,47,45224,Yes
Male,54,129707,Yes
Female,47,145138,No
Female,22,131563,Yes
Male,50,97543,No
Female,37,53948,Yes
Female,54,146409,No
Male,33,31393,No
Male,29,126961,No
Male,43,33433,Yes
Female,48,120872,Yes
Female,31,113367,Yes
Male,22,20953,Yes
Male,21,38826,No
Female,40,66387,Yes
Male,57,131234,Yes
Male,43,116587,Yes
Female,46,29947,No
Male,33,74913,Yes
Female,60,120736,No
Female,51,78753,No
Female,48,43239,Yes
Female,37,34408,Yes
Male,25,33276,No
Male,53,143632,Yes
Female,46,138273,Yes
Male,19,49749,Yes
Female,46,105916,Yes
Female,35,41420,Yes
Female,59,60480,Yes
Female,38,105723,No
Male,31,115535,No
Male,57,141338,No
Female,24,136215,No
Female,25,134789,No
Female,60,68261,No
Female,53,104059,Yes
Male,43,30295,No
Male,36,127249,No
Female,55,40220,No
Female,49,64866,Yes
Male,36,124591,No
Female,52,59666,No
Female,55,51235,Yes
Male,27,23884,Yes
Male,39,86065,No
Female,36,59015,Yes
Female,50,74533,No
Female,22,24093,No
Male,60,104767,Yes
Male,30,89149,Yes
Male,40,130830,No
Female,18,113149,No
Male,36,87256,No
Female,47,141740,Yes
Male,29,37442,Yes
Female,23,29464,Yes
Male,51,49851,No
Female,45,43684,Yes
Female,58,43516,No
Female,40,111938,No
Female,33,87655,No
Male,23,68904,Yes
Female,60,51334,Yes
Male,59,138557,Yes
Female,49,22005,No
Male,56,38162,Yes
Male,34,65728,No
Male,38,72228,No
Male,58,73423,Yes
Female,33,69050,No
Female,25,64586,No
Male,30,100453,Yes
Male,49,125011,Yes
Male,32,113029,Yes
Male,56,61065,Yes
Female,20,86619,No
Male,27,98496,No
Male,27,141407,Yes
Male,41,61636,Yes
Female,27,63081,No
Female,29,80862,Yes
Male,59,94679,No
Male,43,84896,Yes
Female,41,20141,Yes
Male,45,105159,No
Male,53,66901,Yes
Female,39,111000,No
Male,45,26173,No
Male,32,66228,Yes
Male,53,87424,Yes
Male,33,112880,Yes
Female,53,82842,Yes
Male,46,83704,No
Male,45,90452,Yes
Male,54,52393,No
Male,28,61817,No
Female,43,36195,No
Female,46,86934,No
Male,28,102338,Yes
Male,31,62750,No
Male,43,45638,No
Female,35,122644,Yes
Male,36,145032,Yes
Female,21,98390,Yes
Male,30,116138,No
Female,21,132620,No
Male,18,143606,Yes
Male,28,141906,No
Female,38,33438,No
Female,59,34380,No
Female,30,105556,Yes
Male,43,59340,Yes
Male,27,63972,No
Female,21,31498,No
Female,44,42138,No
Male,51,142342,Yes
Female,55,58719,No
Female,23,49884,No
Male,49,85702,Yes
Female,31,142493,Yes
Female,51,93728,No
Male,34,100651,Yes
Female,54,79132,No
Female,27,30495,No
Male,52,51816,Yes
Male,55,129800,No
Female,19,138138,No
Male,60,36796,Yes
Male,34,65077,No
Male,38,49785,No
Male,18,127270,Yes
Male,48,131147,No
Female,53,69916,No
Female,44,62663,No
Male,46,88126,Yes
Male,46,139623,No
Male,25,95258,Yes
Female,60,27760,Yes
Female,55,91164,Yes
Female,51,56491,No
Male,31,65018,No
Male,25,144397,Yes
Male,46,29121,No
Male,50,62440,No
Male,30,130647,No
Male,37,125421,No
Male,31,138682,Yes
Female,43,50642,No
Male,48,138272,No
Male,28,149686,Yes
Female,19,60508,No
Male,37,114009,Yes
Female,20,80295,Yes
Male,53,132530,No
Female,56,135323,Yes
Female,49,140048,No
Male,26,59034,No
Male,21,54995,Yes
Female,18,27311,No
Female,31,62655,No
Male,21,144956,No
Male,33,105583,Yes
Male,56,108886,No
Male,43,80156,No
Male,52,133850,No
Female,43,49449,No
Male,48,72180,No
Female,34,126253,No
Female,56,106122,Yes
Female,45,81452,Yes
Male,41,51438,Yes
Male,44,32488,No
Female,44,119270,Yes
Male,39,46371,Yes
Female,26,122209,No
Female,31,101952,Yes
Female,20,113207,Yes
Female,29,38375,Yes
Female,27,118349,Yes
Male,35,22936,Yes
Female,58,56893,No
Female,41,114781,No
Male,23,143858,Yes
Female,30,21928,No
Female,23,84231,No
Female,50,140424,Yes
Male,24,63806,Yes
Female,20,141259,No
Female,52,47087,No
Female,20,27622,No
Female,24,90479,Yes
Female,48,107275,Yes
Male,52,78062,Yes
Female,25,56481,No
Male,28,65551,No
Male,55,146323,No
Male,51,131466,No
Male,43,56910,No
Female,19,77672,No
Male,42,113031,No
Female,50,45322,No
Female,20,85004,No
Female,54,116752,No
Male,42,101699,Yes
Male,38,88409,No
Female,24,90456,Yes
Male,43,43743,Yes
Female,38,44087,Yes
Female,22,129810,Yes
Female,36,20753,Yes
Male,40,124498,No
Female,27,113174,No
Female,56,73036,No
Female,23,49518,No
Female,29,57599,Yes
Female,43,112347,No
Female,50,100633,No
Female,40,20736,Yes
Male,18,111486,No
Female,55,64585,No
Female,49,141445,Yes
Male,23,61841,No
Male,20,129685,No
Female,24,145877,No
Male,44,132166,No
Female,27,140885,Yes
Male,50,121181,No
Male,36,34901,No
Female,30,92368,No
Female,23,108758,No
Male,52,142735,Yes
Female,33,138820,No
Male,59,73313,No
Male,22,31105,Yes
Male,51,42232,Yes
Female,30,130531,Yes
Female,25,60655,Yes
Male,58,37885,Yes
Female,52,43605,Yes
Female,40,130882,Yes
Male,23,83192,Yes
Male,51,28325,No
Male,54,148645,No
Male,22,70381,No
Female,25,142813,No
Female,54,113558,Yes
Male,59,34439,No
Female,44,108315,No
Male,36,69170,No
Male,59,66260,Yes
Male,48,65491,Yes
Male,40,95209,Yes
Female,51,141546,No
Male,52,92518,Yes
Male,58,118717,No
Female,56,71490,No
Male,48,142882,Yes
Male,48,125236,Yes
Female,36,46076,No
Female,49,53600,Yes
Male,52,36955,No
Female,46,94287,Yes
Female,30,75576,No
Female,24,45963,No
Male,29,36418,No
Male,35,91261,No
Female,47,87813,Yes
Male,25,76333,No
Male,44,121586,Yes
Male,55,117071,No
Male,30,26619,No
Female,27,105189,No
Male,29,101735,Yes
Male,57,127216,Yes
Female,60,123727,Yes
Male,54,21137,No
Male,55,127040,No
Male,44,86643,Yes
Female,51,109766,Yes
Female,27,43359,No
Male,58,145121,No
Male,24,40902,No
Male,57,104485,No
Male,22,105914,Yes
Male,29,42234,Yes
Female,21,46659,No
Male,20,45519,No
Male,18,87727,Yes
Female,40,71075,No
Female,50,39519,No
Female,31,57371,No
Male,35,128568,Yes
Male,50,82791,No
Male,43,76645,No
Female,49,38263,Yes
Male,26,29165,No
Female,25,22007,No
Male,25,137934,Yes
Male,18,109228,Yes
Male,41,44028,Yes
Male,21,110730,Yes
Male,51,146860,Yes
Male,25,82225,Yes
Female,31,138563,No
Male,20,24328,Yes
Male,59,61610,Yes
Female,37,140041,Yes
Female,60,59141,No
Female,59,34254,No
Female,32,126504,Yes
Female,40,73026,No
Female,33,20547,Yes
Male,28,80617,Yes
Female,47,26851,Yes
Female,30,74363,Yes
Male,33,22000,No
Female,32,117458,Yes
Female,18,108833,Yes
Male,54,139748,Yes
Female,45,92375,Yes
Male,21,73642,No
Female,46,79252,Yes
Male,39,107533,No
Female,43,121502,Yes
Male,49,91443,Yes
Female,50,43380,Yes
Male,58,143579,No
Female,29,91400,Yes
Male,48,88340,Yes
Male,46,134860,Yes
Male,40,107208,No
Male,52,38709,Yes
Female,38,27174,No
Female,28,66429,No
Female,18,62451,Yes
Female,26,134096,Yes
Male,60,65891,Yes
Male,49,142407,No
Female,48,40991,No
Female,50,76983,No
Male,25,54267,No
Male,38,93199,Yes
Male,57,114056,Yes
Female,43,115139,Yes
Male,29,123030,No
Male,49,26014,Yes
Female,41,28511,Yes
Female,29,60893,Yes
Male,54,26906,No
Male,54,139905,No
Female,38,52587,No
Male,31,45690,No
Female,46,64920,No
Female,60,108222,No
Male,41,89850,No
Female,60,137974,No
Male,30,58173,No
Female,32,58182,Yes
Female,55,133249,No
Male,21,28689,Yes
Male,22,108903,Yes
Female,56,87951,Yes
Female,50,113483,Yes
Male,46,69747,Yes
Female,21,94842,No
Female,59,68597,Yes
Female,59,124415,Yes
Female,27,21423,No
Female,53,139337,Yes
Male,47,101923,Yes
Male,24,131569,No
Male,48,134049,No
Male,34,22422,No
Male,24,58150,Yes
Male,59,134433,No
Female,52,138102,No
Male,58,102729,No
Female,35,113780,No
Female,32,130790,No
Female,30,75314,Yes
Female,35,91814,Yes
Female,59,25985,No
Male,37,96357,Yes
Female,57,118629,Yes
Male,36,82697,No
Male,42,49422,Yes
Male,55,21177,No
Male,47,103641,Yes
Male,55,132129,Yes
Female,36,104047,Yes
Male,29,45323,No
Male,35,24003,Yes
Female,46,142919,Yes
Female,39,62303,No
Male,50,78440,No
Male,31,72782,Yes
Female,35,113931,Yes
Male,59,132805,Yes
Female,38,136376,Yes
Female,29,44972,No
Male,53,24484,No
Female,35,53973,No
Male,58,133813,No
Male,42,62216,Yes
Female,53,44503,No
Female,34,28581,Yes
Male,43,33925,Yes
Male,37,125131,No
Male,36,100973,No
Male,22,143255,Yes
Male,49,36299,No
Female,20,86707,No
Female,58,23276,No
Male,50,27089,No
Female,22,55977,No
Female,54,101314,Yes
Female,28,123273,Yes
Male,25,51418,Yes
Female,32,56460,No
Female,33,33790,Yes
Female,24,102932,No
Female,48,85830,Yes
Female,58,123470,Yes
Male,21,78694,Yes
Female,50,62316,No
Male,19,81403,Yes
Female,36,132339,Yes
Male,33,98771,No
Female,58,96320,Yes
Male,51,132383,No
Male,55,23411,Yes
Male,54,22405,No
Male,32,136169,No
Female,44,82021,No
Male,36,137842,Yes
Female,59,27180,Yes
Female,21,122665,Yes
Female,58,138550,No
Male,42,131465,Yes
Female,55,36398,Yes
Male,49,85693,No
Male,40,48297,Yes
Male,59,91291,No
Female,27,131952,No
Male,54,133544,No
Female,48,123624,No
Female,37,114595,No
Male,27,120860,Yes
Male,52,49476,Yes
Female,47,101552,No
Male,26,80319,No
Female,22,84704,Yes
Female,28,22227,Yes
Male,37,58378,No
Male,58,58724,Yes
Female,46,116254,No
Female,35,95635,No
Male,40,48452,No
Male,45,71222,No
Female,53,148529,No
Male,42,71383,Yes
Male,47,31286,No
Female,45,49836,Yes
Male,21,111584,No
Female,49,134209,No
Female,28,96263,Yes
Male,31,75913,Yes
Male,41,78068,No
Female,58,95387,Yes
Male,25,136249,Yes
Female,34,64271,No
Female,30,61148,Yes
Male,43,27858,Yes
Male,37,23172,Yes
Female,24,107701,No
Male,35,85015,Yes
Male,25,37611,No
Female,41,77534,No
Male,55,100962,Yes
Male,21,73981,No
Male,42,66154,Yes
Male,23,56592,Yes
Female,21,71841,No
Female,51,137697,No
Female,37,75040,Yes
Female,21,99306,Yes
Male,56,114841,No
Male,35,22517,No
Male,46,99753,No
Male,19,98736,Yes
Female,45,113773,Yes
Male,18,31833,Yes
Female,18,137612,No
Male,24,88270,Yes
Male,52,140350,No
Female,21,123811,No
Female,22,60038,No
Female,29,89719,Yes
Female,53,45517,No
Female,28,25046,No
Female,56,113290,Yes
Male,60,60078,No
Male,27,50119,Yes
Male,56,53955,No
Male,48,29622,Yes
Female,33,54838,No
Female,47,67279,Yes
Male,20,76232,Yes
Male,51,76742,No
Male,39,32292,Yes
Male,45,146787,No
Female,45,126654,No
Male,43,101511,No
Male,20,102512,No
Female,29,92537,No
Male,59,29211,No
Male,27,128528,Yes
Female,47,68316,Yes
Male,52,47842,Yes
Female,39,88441,No
Male,53,127238,No
Male,24,149210,No
Male,58,115577,No
Female,35,85016,No
Male,32,107787,Yes
Female,33,90303,No
Male,55,118190,No
Female,24,35705,Yes
Male,35,125158,Yes
Male,49,129255,Yes
Male,48,66451,No
Male,28,120983,No
Male,59,132507,Yes
Male,30,45950,Yes
Female,44,102615,No
Male,32,88141,No
Female,59,108019,Yes
Male,20,29012,Yes
Female,36,95663,No
Male,55,103955,Yes
Male,45,71784,Yes
Male,51,31578,No
Female,22,44585,No
Male,22,140288,Yes
Female,32,124106,No
Male,49,31626,Yes
Male,46,75136,Yes
Male,60,41349,No
Female,45,131580,Yes
Female,18,83801,Yes
Female,58,44472,No
Female,39,35877,No
Male,29,102752,No
Male,29,32633,Yes
Male,35,62816,Yes
Female,59,97791,No
Male,38,79401,Yes
Female,39,93611,Yes
Male,23,83131,Yes
Female,50,54959,No
Male,29,98330,Yes
Female,34,29694,Yes
Male,39,29999,Yes
Female,53,117613,No
Male,44,127577,Yes
Male,22,60540,No
Male,58,80429,Yes
Female,21,122163,Yes
Male,54,130457,Yes
Female,59,102649,No
Male,21,143372,Yes
Female,28,99904,No
Female,19,148062,No
Male,45,50747,Yes
Female,26,25072,Yes
Female,34,149544,No
Male,27,80601,No
Male,20,140646,No
Female,28,84676,Yes
Male,60,94915,No
Male,36,71577,Yes
Male,53,87587,Yes
Female,32,137548,Yes
Female,40,60394,No
Male,56,112994,No
Male,31,147890,Yes
Female,45,38904,No
Male,45,118395,No
Female,53,35522,No
Male,28,55418,Yes
Female,42,42646,Yes
Male,44,31956,No
Female,24,146011,No
Female,53,48179,Yes
Male,24,113985,No
Female,36,24731,No
Male,45,131259,Yes
Male,31,121389,No
Male,60,101519,No
Male,49,41901,Yes
Male,53,99293,No
Male,22,143431,Yes
Male,20,96407,No
Male,34,95597,No
Male,34,143194,No
Female,59,60177,No
Female,58,39820,Yes
Female,30,130267,No
Female,33,138283,Yes
Female,34,81002,Yes
Female,56,133803,No
Male,30,95365,Yes
Male,47,45931,No
Female,42,93144,No
Male,26,124263,No
Female,54,135102,No
Male,45,23078,No
Male,31,140865,No
Male,38,34883,Yes
Male,40,69378,Yes
Female,28,62470,Yes
Female,27,43750,No
Female,53,82328,Yes
Female,39,84016,No
Male,36,66169,Yes
Male,23,117091,No
Female,52,60300,Yes
Male,47,120322,No
Female,58,82841,No
Male,27,140830,Yes
Female,30,24295,Yes
Male,54,83031,No
Female,23,57162,Yes
Male,57,65032,Yes
Female,50,115687,Yes
Female,59,86167,Yes
Female,50,36107,No
Female,39,126728,Yes
Male,35,99543,No
Male,52,108968,Yes
Female,24,116316,No
Female,41,142049,Yes
Female,41,147164,Yes
Male,30,119314,No
Female,21,27341,Yes
Female,49,103339,No
Male,42,57625,Yes
Female,26,121741,Yes
Male,29,148761,Yes
Female,27,39536,Yes
Female,37,93179,Yes
Female,38,117327,No
Female,24,40442,Yes
Male,39,130891,No
Male,50,37778,No
Male,18,138283,No
Female,53,91925,No
Male,26,63194,Yes
Male,60,67544,No
Female,34,71770,No
Male,27,114785,No
Male,22,23728,Yes
Male,59,47822,Yes
Male,54,73241,Yes
Female,45,80157,No
Female,44,88004,Yes
Female,35,102845,Yes
Female,25,116739,Yes
Male,56,126573,No
Female,23,125299,No
Male,28,138401,Yes
Female,44,24323,Yes
Male,51,27589,No
Female,54,133512,No
Female,45,70102,No
Female,57,73468,Yes
Male,35,130180,Yes
Male,43,149571,No
Female,35,87864,Yes
Male,35,51941,No
Female,49,77369,No
Male,45,141875,Yes
Female,24,112160,No
Female,41,143316,Yes
Male,44,132809,No
Female,20,145454,No
Male,60,81326,No
Female,43,146976,Yes
Male,39,40392,Yes
Male,33,72695,No
Male,48,84848,No
Male,48,62191,No
Male,50,149066,Yes
Male,59,139979,Yes
Female,33,25294,No
Female,26,112191,No
Female,30,67905,Yes
Male,20,87445,No
Male,29,130032,Yes
Male,60,137611,Yes
Male,28,100339,Yes
Male,45,141698,Yes
Female,33,147493,No
Male,30,111462,No
Male,34,25859,Yes
Female,43,117830,Yes
Female,29,130639,Yes
Male,51,122858,Yes
Female,60,60856,No
Male,32,88975,No
Female,19,92458,No
Female,40,23752,Yes
Female,60,32522,No
Female,50,146107,No
Male,32,59006,No
Female,27,98736,Yes
Male,29,144321,Yes
Female,32,56334,No
Female,31,31327,No
Male,21,112109,No
Male,58,59611,Yes
Male,55,63331,No
Female,28,53469,Yes
Female,18,41471,Yes
Female,54,142265,No
Female,44,94290,Yes
Male,36,139499,No
Male,28,29959,Yes
Female,47,137658,No
Male,35,61524,Yes
Female,41,35195,Yes
Female,27,80862,No
Female,32,94333,No
Male,33,27150,Yes
Female,42,78914,Yes
Female,55,111498,No
Female,22,124604,Yes
Male,47,49086,No
Female,35,117062,No
Female,42,129239,No
Female,47,84054,No
Male,44,48386,No
Male,53,100265,No
Female,25,49713,Yes
Male,60,122986,No
Male,54,33908,Yes
Female,54,61221,Yes
Female,35,22376,Yes
Female,60,35957,Yes
Male,38,144129,Yes
Male,29,47883,No
Male,21,87859,Yes
Female,30,142786,Yes
Male,39,92962,Yes
Female,54,132450,Yes
Female,25,140027,Yes
Female,18,99390,Yes
Male,33,51546,Yes
Female,45,90692,Yes
Female,47,81784,No
Male,32,109014,No
Male,28,41954,Yes
Female,54,99129,Yes
Male,41,65645,No
Male,48,33053,No
Female,53,146757,No
Male,28,125150,No
Female,24,59008,No
Female,32,96301,No
Male,58,136338,Yes
Female,55,115450,No
Male,19,75004,No
Male,31,62706,Yes
Male,49,140052,Yes
Female,40,137123,Yes
Male,37,26916,No
Male,19,141990,Yes
Male,52,92296,Yes
Male,34,134663,No
Male,37,124977,Yes
Male,37,20850,No
Male,46,106325,No
Female,47,147141,Yes
Male,42,52631,Yes
Male,49,74111,No
Female,50,91398,Yes
Male,54,147333,Yes
Male,37,76503,No
Male,39,112470,Yes
Male,48,84932,Yes
Female,59,116002,Yes
Female,24,82010,No
Male,22,55113,No
Male,22,111081,Yes
Female,59,143510,Yes
Male,21,21127,Yes
Female,39,102561,No
Male,20,56728,Yes
Female,52,94748,Yes
Male,46,149470,Yes
Male,50,141478,Yes
Female,50,31408,No
Female,50,121267,Yes
Male,35,75875,Yes
Female,46,125279,No
Male,18,48476,No
Female,44,75723,Yes
Male,49,23988,No
Female,45,24646,Yes
Female,31,121672,No
Male,43,50757,Yes
Male,54,140105,No
Female,50,22690,Yes
Male,23,36697,Yes
Male,40,131336,Yes
Female,22,73490,No
Male,56,101276,No
Male,36,80343,No
Female,24,146234,Yes
Male,60,66357,Yes
Male,34,116358,Yes
Female,35,41190,No
Male,50,123605,No
Female,31,46691,No
Female,34,73490,No
Male,32,78306,No
Male,23,66977,Yes
Female,32,42927,Yes
Female,51,148032,Yes
Male,29,65076,Yes
Female,49,114577,No
Female,59,103348,No
Male,58,38311,Yes
Male,18,36966,Yes
Female,33,27221,No
Male,36,28027,No
Male,27,84722,Yes
Female,41,46993,No
Male,31,91959,Yes
Male,54,143640,Yes
Female,49,133318,Yes
Female,31,99405,Yes
Female,35,52509,Yes
Male,44,83050,Yes
Male,55,75521,No
Female,51,102816,Yes
Male,32,28653,No
Female,49,59779,No
Male,53,131582,Yes
Female,32,128371,No
Male,58,41537,No
Female,29,138928,Yes
Female,30,20663,No
Male,42,88319,No
Female,33,123291,No
Female,36,101080,Yes
Male,52,27053,Yes
Female,57,100717,No
Male,21,76272,No
Male,42,50527,Yes
Female,36,21350,No
Female,29,137301,Yes
Male,38,83573,Yes
Female,32,77493,Yes
Female,42,118978,No
Female,38,53599,Yes
Female,46,119646,No
Female,44,123361,Yes
Female,30,45069,Yes
Female,46,143916,Yes
Male,57,32704,Yes
Male,51,47211,No
Female,26,39323,No
Female,41,122765,No
Male,27,71082,Yes
Male,20,75255,No
Male,46,145059,No
Male,41,65709,No
Male,56,46814,Yes
Female,55,21992,No
Female,35,71497,No
Female,33,83026,Yes
Male,47,100253,No
Male,26,107613,No
Male,36,80674,Yes
Female,59,31897,No
Male,30,61087,No
Male,44,31383,Yes
Male,45,21134,Yes
Male,44,145084,Yes
Female,59,82262,No
Male,45,149416,Yes
Male,48,46292,No
Male,56,35859,Yes
Male,48,106436,Yes
Female,57,135260,No
Male,48,78487,Yes
Female,21,110087,Yes
Female,41,122661,Yes
Female,49,97984,No
Male,47,125857,No
Female,18,116706,No
Female,55,89161,Yes
Male,32,73947,No
Female,55,42532,Yes
Female,36,123562,No
Female,45,130515,No
Female,29,61531,No
Male,34,107976,Yes
Female,46,144977,No
Female,18,133299,No
Male,54,74288,No
Female,37,98701,Yes
Female,34,133683,Yes
Male,59,108570,Yes
Male,56,78811,Yes
Male,28,125427,No
Male,38,126429,Yes
Male,24,83886,Yes
Female,37,70209,Yes
Male,54,115336,No
Female,43,139196,Yes
Male,44,52769,Yes
Female,39,29820,Yes
Male,25,26248,No
Female,49,79376,Yes
Male,22,86925,Yes
Male,23,68915,Yes
Female,32,115949,No
Male,53,127797,Yes
Male,45,26580,Yes
Male,41,40519,No
Male,52,84739,No
Male,39,30112,No
Female,24,146837,No
Male,28,142527,No
Female,53,123898,No
Male,60,114596,Yes
Male,32,103193,No
Male,45,123510,No
Male,55,137069,Yes
Male,53,126204,Yes
Female,37,30763,No
Female,51,80422,Yes
Male,43,107916,No
Male,26,81241,Yes
Male,44,120982,No
